Gene stable ID,Transcript stable ID,Gene name
ENSG00000282103,ENST00000633950,DLGAP2
ENSG00000282103,ENST00000633407,DLGAP2
ENSG00000282347,ENST00000632070,
ENSG00000282245,ENST00000634082,
ENSG00000280716,ENST00000627361,FRG1-DT
ENSG00000280716,ENST00000626186,FRG1-DT
ENSG00000280716,ENST00000626507,FRG1-DT
ENSG00000280716,ENST00000626099,FRG1-DT
ENSG00000281830,ENST00000625835,LINC01596
ENSG00000281916,ENST00000627559,
ENSG00000263314,ENST00000572040,
ENSG00000282734,ENST00000633955,
ENSG00000281997,ENST00000633337,
ENSG00000262592,ENST00000573768,LRIG3-DT
ENSG00000282141,ENST00000632332,
ENSG00000282001,ENST00000632213,DLGAP2-AS1
ENSG00000281953,ENST00000632171,
ENSG00000282044,ENST00000632263,
ENSG00000281122,ENST00000630351,MAD2L1-DT
ENSG00000280750,ENST00000627600,
ENSG00000280613,ENST00000628060,NDUFA6-DT
ENSG00000280613,ENST00000625765,NDUFA6-DT
ENSG00000280613,ENST00000629320,NDUFA6-DT
ENSG00000280613,ENST00000629186,NDUFA6-DT
ENSG00000280613,ENST00000628365,NDUFA6-DT
ENSG00000280613,ENST00000628284,NDUFA6-DT
ENSG00000280613,ENST00000627053,NDUFA6-DT
ENSG00000280613,ENST00000630947,NDUFA6-DT
ENSG00000280613,ENST00000630474,NDUFA6-DT
ENSG00000280613,ENST00000627171,NDUFA6-DT
ENSG00000280613,ENST00000628314,NDUFA6-DT
ENSG00000280821,ENST00000627506,
ENSG00000281580,ENST00000626420,LINC01060
ENSG00000281580,ENST00000629270,LINC01060
ENSG00000281580,ENST00000626986,LINC01060
ENSG00000281580,ENST00000629963,LINC01060
ENSG00000281580,ENST00000625567,LINC01060
ENSG00000281580,ENST00000630195,LINC01060
ENSG00000281019,ENST00000627728,
ENSG00000281603,ENST00000630526,MUC20-OT1
ENSG00000281603,ENST00000630799,MUC20-OT1
ENSG00000281603,ENST00000630310,MUC20-OT1
ENSG00000281603,ENST00000626757,MUC20-OT1
ENSG00000281603,ENST00000629323,MUC20-OT1
ENSG00000281603,ENST00000626915,MUC20-OT1
ENSG00000281603,ENST00000629891,MUC20-OT1
ENSG00000281603,ENST00000628447,MUC20-OT1
ENSG00000281603,ENST00000626329,MUC20-OT1
ENSG00000281603,ENST00000630931,MUC20-OT1
ENSG00000281603,ENST00000628898,MUC20-OT1
ENSG00000281603,ENST00000627358,MUC20-OT1
ENSG00000281603,ENST00000628265,MUC20-OT1
ENSG00000281603,ENST00000628910,MUC20-OT1
ENSG00000281603,ENST00000631039,MUC20-OT1
ENSG00000281603,ENST00000630747,MUC20-OT1
ENSG00000281603,ENST00000627936,MUC20-OT1
ENSG00000281603,ENST00000627308,MUC20-OT1
ENSG00000281603,ENST00000628487,MUC20-OT1
ENSG00000281603,ENST00000628786,MUC20-OT1
ENSG00000281603,ENST00000627117,MUC20-OT1
ENSG00000281603,ENST00000630441,MUC20-OT1
ENSG00000281603,ENST00000629358,MUC20-OT1
ENSG00000281603,ENST00000629593,MUC20-OT1
ENSG00000281603,ENST00000630870,MUC20-OT1
ENSG00000281603,ENST00000626252,MUC20-OT1
ENSG00000281603,ENST00000627966,MUC20-OT1
ENSG00000281603,ENST00000627710,MUC20-OT1
ENSG00000281603,ENST00000628070,MUC20-OT1
ENSG00000281603,ENST00000627038,MUC20-OT1
ENSG00000281603,ENST00000627841,MUC20-OT1
ENSG00000281603,ENST00000628033,MUC20-OT1
ENSG00000281603,ENST00000629968,MUC20-OT1
ENSG00000281603,ENST00000626699,MUC20-OT1
ENSG00000281603,ENST00000629308,MUC20-OT1
ENSG00000281603,ENST00000627444,MUC20-OT1
ENSG00000281603,ENST00000631116,MUC20-OT1
ENSG00000281603,ENST00000630121,MUC20-OT1
ENSG00000281603,ENST00000626508,MUC20-OT1
ENSG00000281603,ENST00000627166,MUC20-OT1
ENSG00000281603,ENST00000629849,MUC20-OT1
ENSG00000281603,ENST00000631223,MUC20-OT1
ENSG00000281603,ENST00000626102,MUC20-OT1
ENSG00000281603,ENST00000626795,MUC20-OT1
